Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive
😂,0x1f602,14622,0.805100583,3614,4163,6845
❤,0x2764,8050,0.746943086,355,1334,6361
♥,0x2665,7144,0.753806008,252,1942,4950
😍,0x1f60d,6359,0.765292366,329,1390,4640
😭,0x1f62d,5526,0.803351976,2412,1218,1896
😘,0x1f618,3648,0.854480172,193,702,2753
😊,0x1f60a,3186,0.813302436,189,754,2243
👌,0x1f44c,2925,0.805222883,274,728,1923
💕,0x1f495,2400,0.765725889,99,683,1618
👏,0x1f44f,2336,0.787130164,243,634,1459
😁,0x1f601,2189,0.796151187,278,648,1263
☺,0x263a,2062,0.798633582,128,449,1485
♡,0x2661,1975,0.763695423,102,448,1425
👍,0x1f44d,1854,0.812125626,213,460,1181
😩,0x1f629,1808,0.826213985,1069,336,403
🙏,0x1f64f,1539,0.793847592,124,648,767
✌,0x270c,1534,0.790480332,173,476,885
😏,0x1f60f,1522,0.764977294,170,676,676
😉,0x1f609,1521,0.844832651,151,513,857
🙌,0x1f64c,1506,0.790600034,152,358,996
🙈,0x1f648,1456,0.738880937,238,350,868
💪,0x1f4aa,1409,0.806704098,101,424,884
😄,0x1f604,1398,0.794972621,191,426,781
😒,0x1f612,1385,0.857620553,819,266,300
💃,0x1f483,1344,0.852764705,59,237,1048
💖,0x1f496,1263,0.762239109,54,254,955
😃,0x1f603,1206,0.734782211,86,361,759
😔,0x1f614,1205,0.86614594,559,263,383
😱,0x1f631,1130,0.773313178,298,319,513
🎉,0x1f389,1125,0.743635879,43,207,875
😜,0x1f61c,1035,0.822246602,115,333,587
☯,0x262f,992,0.383524015,5,981,6
🌸,0x1f338,946,0.570021571,37,255,654
💜,0x1f49c,939,0.730869962,41,241,657
💙,0x1f499,912,0.703047577,29,186,697
✨,0x2728,848,0.560430162,43,463,342
😳,0x1f633,846,0.797185814,277,277,292
💗,0x1f497,836,0.799725947,42,201,593
★,0x2605,828,0.353316599,25,543,260
█,0x2588,798,0.634172164,71,682,45
☀,0x2600,786,0.54553079,21,377,388
😡,0x1f621,756,0.861522028,403,81,272
😎,0x1f60e,754,0.76564387,79,224,451
😢,0x1f622,749,0.813896833,288,168,293
💋,0x1f48b,734,0.800580592,28,169,537
😋,0x1f60b,734,0.76498518,33,203,498
🙊,0x1f64a,725,0.740523086,97,197,431
😴,0x1f634,718,0.849922938,303,170,245
🎶,0x1f3b6,701,0.797255889,67,189,445
💞,0x1f49e,687,0.828705997,27,123,537
😌,0x1f60c,665,0.847121229,93,157,415
🔥,0x1f525,651,0.61555041,80,400,171
💯,0x1f4af,637,0.871819418,179,202,256
🔫,0x1f52b,604,0.893761284,298,126,180
💛,0x1f49b,602,0.751631631,25,123,454
💁,0x1f481,549,0.839628793,105,159,285
💚,0x1f49a,537,0.737498972,41,101,395
♫,0x266b,533,0.396607039,33,313,187
😞,0x1f61e,532,0.825187832,255,85,192
😆,0x1f606,527,0.809376422,81,148,298
😝,0x1f61d,496,0.808808972,65,155,276
😪,0x1f62a,482,0.858219873,208,105,169
�,0xfffd,472,0.11293316,78,275,119
😫,0x1f62b,467,0.839517641,227,81,159
😅,0x1f605,462,0.827654572,135,109,218
👊,0x1f44a,458,0.824515864,121,111,226
💀,0x1f480,456,0.739462262,214,123,119
😀,0x1f600,439,0.786284933,37,114,288
😚,0x1f61a,424,0.853414944,20,81,323
😻,0x1f63b,417,0.729665769,28,101,288
©,0xa9,416,0.740148376,54,259,103
👀,0x1f440,410,0.759422009,93,198,119
💘,0x1f498,395,0.785036942,18,87,290
🐓,0x1f413,384,0.490808466,41,291,52
☕,0x2615,382,0.685215074,53,182,147
👋,0x1f44b,382,0.797944108,60,103,219
✋,0x270b,378,0.838291817,124,82,172
🎊,0x1f38a,363,0.72362175,20,59,284
🍕,0x1f355,352,0.544580757,19,166,167
❄,0x2744,349,0.760181984,34,103,212
😥,0x1f625,341,0.881976694,108,83,150
😕,0x1f615,340,0.856711865,205,66,69
💥,0x1f4a5,329,0.587206232,23,234,72
💔,0x1f494,328,0.835831574,136,96,96
😤,0x1f624,327,0.884007985,157,82,88
😈,0x1f608,325,0.762497655,66,106,153
►,0x25ba,325,0.516489206,40,192,93
✈,0x2708,322,0.521940266,13,161,148
🔝,0x1f51d,303,0.798433666,26,106,171
😰,0x1f630,302,0.919654285,132,44,126
⚽,0x26bd,299,0.193496177,15,83,201
😑,0x1f611,299,0.844272967,154,85,60
👑,0x1f451,298,0.698804832,12,65,221
😹,0x1f639,295,0.8074145,88,77,130
👉,0x1f449,292,0.559175629,20,137,135
🍃,0x1f343,291,0.572324349,29,122,140
🎁,0x1f381,288,0.709181399,11,45,232
😠,0x1f620,288,0.849218089,163,49,76
🐧,0x1f427,284,0.540408727,11,131,142
☆,0x2606,282,0.563398192,8,144,130
🍀,0x1f340,278,0.768496291,6,186,86
🎈,0x1f388,277,0.718504213,4,68,205
🎅,0x1f385,274,0.800786662,7,172,95
😓,0x1f613,273,0.844887359,118,59,96
😣,0x1f623,271,0.903307721,147,35,89
😐,0x1f610,270,0.882732825,150,76,44
✊,0x270a,270,0.858608998,37,79,154
😨,0x1f628,269,0.813687927,117,73,79
😖,0x1f616,268,0.868926665,130,50,88
💤,0x1f4a4,267,0.800461854,38,91,138
💓,0x1f493,259,0.783045488,15,55,189
👎,0x1f44e,258,0.914491346,128,51,79
💦,0x1f4a6,252,0.779043752,35,62,155
✔,0x2714,249,0.565237075,31,119,99
😷,0x1f637,246,0.840376534,117,54,75
⚡,0x26a1,246,0.778780762,10,182,54
🙋,0x1f64b,236,0.732500422,30,60,146
🎄,0x1f384,236,0.632526433,15,79,142
💩,0x1f4a9,229,0.839720048,94,68,67
🎵,0x1f3b5,223,0.71526961,23,64,136
➡,0x27a1,222,0.478330444,2,185,35
😛,0x1f61b,220,0.734419263,18,50,152
😬,0x1f62c,214,0.793679841,57,58,99
👯,0x1f46f,211,0.742043843,24,69,118
💎,0x1f48e,209,0.694054736,11,68,130
🌿,0x1f33f,208,0.600120585,1,125,82
