Unicode,EmojiGlyph,Description,Year,Nature,UsageNumber,UsagePercentage,Sentiment,AverageSentiment,Annotations,Color
U+1F600,😀,grinning face,2012,emoji,36639787,0.267524400578419,0.571753986332574,0.152958142471944,face; grin; person,Orange
U+1F601,😁,grinning face with smiling eyes,2010,emoji,207378263,1.51416670359107,0.449977158519872,0.681340430807309,eye; face; grin; person; smile,Orange
U+1F602,😂,face with tears of joy,2010,emoji,1136425630,8.29758059094892,0.220968403775133,1.83350313837751,face; joy; person; tear,Orange
U+1F603,😃,smiling face with open mouth,2010,emoji,52249460,0.381498000167034,0.55804311774461,0.212892333426546,face; mouth; open; person; smile,Orange
U+1F604,😄,smiling face with open mouth and smiling eyes,2010,emoji,95795976,0.699451693243321,0.422031473533619,0.295190628765064,eye; face; mouth; open; person; smile,Orange
U+1F605,😅,smiling face with open mouth and cold sweat,2010,emoji,96051799,0.701319577866373,0.17965367965368,0.125994642776859,cold; face; open; person; smile; sweat,Orange
U+1F606,😆,smiling face with open mouth and tightly-closed eyes,2010,emoji,41862643,0.305658940517404,0.411764705882353,0.125859563742461,face; laugh; mouth; open; person; satisfied; smile,Orange
U+1F609,😉,winking face,2010,emoji,136328833,0.995401237727731,0.464168310322156,0.462033710608664,face; person; wink,Orange
U+1F60A,😊,smiling face with smiling eyes,2010,emoji,343867917,2.51074217144261,0.644695543000628,1.61866428755277,blush; eye; face; person; smile,Orange
U+1F60B,😋,face savouring delicious food,2010,emoji,79510323,0.580542444211575,0.633514986376022,0.367782338635398,delicious; face; food; person; savouring; smile; um; yum,Orange
U+1F60E,😎,smiling face with sunglasses,2010,emoji,109444124,0.799103271804778,0.493368700265252,0.394252542588034,bright; cool; eye; eyewear; face; glasses; person; smile; sun; sunglasses; weather,Orange
U+1F60D,😍,smiling face with heart-shaped eyes,2010,emoji,460352089,3.36124816076982,0.677936782512974,2.27871376333995,eye; face; heart; love; person; smile,Orange
U+1F618,😘,face throwing a kiss,2010,emoji,284151466,2.07472414114004,0.701754385964912,1.45594676571231,face; heart; kiss; person,Orange
U+1F617,😗,kissing face,2012,emoji,4544228,0.0331795561964285,0.733333333333333,0.0243316745440475,face; kiss; person,Orange
U+1F619,😙,kissing face with smiling eyes,2012,emoji,12278996,0.0896547527583828,0.790575916230366,0.0708788883063654,eye; face; kiss; person; smile,Orange
U+1F61A,😚,kissing face with closed eyes,2010,emoji,33807784,0.246846608291819,0.714622641509434,0.176402175265144,closed; eye; face; kiss; person,Orange
U+263A,☺️,white smiling face,1995,text,273909306,1.99994129061124,0.658098933074685,1.31615922956326,face; outlined; person; relaxed; smile,Orange
U+1F607,😇,smiling face with halo,2010,emoji,28369105,0.207136242633486,0.6,0.124281745580091,angel; face; fairy tale; fantasy; halo; innocent; person; smile,Orange
U+1F610,😐,neutral face,2010,emoji,77125430,0.563129213335843,-0.392592592592593,0.0,deadpan; face; neutral; person,Orange
